1981,0, NaN, NaN
1982,0, NaN, NaN
1983,2, NaN, NaN
1984,1, NaN, NaN
1985,4, NaN, NaN
1986,0, NaN, NaN
1987,1, NaN, NaN
1988,0, NaN, NaN
1989,2, NaN, NaN
1990,1, NaN, NaN
1991,4, NaN, NaN
1992,0, NaN, NaN
1993,2, NaN, NaN
1994,1, NaN, NaN
1995,0, NaN, NaN
1996,3, NaN, NaN
1997,2, NaN, NaN
1998,1, NaN, NaN
1999,2, NaN, NaN
2000,2, NaN, NaN
2001,1, NaN, NaN
2002,5, NaN, NaN
2003,5, NaN, NaN
2004,2, NaN, NaN
2005,2, NaN, NaN
2006,3, NaN, NaN
2007,3,4699, NaN 
2008,2,4699, NaN 
2009,6,5315, NaN
2010,3,5914, NaN
2011,5,6097, 7.6
2012,4,6640, 7.6
2013,3,6372, 8.6
2014,4,6885, 8.9
2015,5,7386, 8.5
2016,4,7719, 8.5
2017,4,7518, 8.5
2018,0,8067, 9
2019,2,8564, 9
2020,3,8933, 9
2021,5,7443, 12.5
2022,6,8819, 13
2023,16,9366, 12
