Postcode district,Number of XL Bully applications approved,Rank,Per 100k residents
CR0,219,1,128.5935738
S5,189,2,297.909902
WA7,182,3,288.0658436
DE24,180,4,300.0050001
WA8,174,5,271.641558
L36,173,6,410.6532472
L4,171,7,420.6331636
B37,165,=8,437.9678293
LE3,165,=8,150.0259136
WA9,156,10,295.7738468
LE2,148,=11,120.2215976
NG17,148,=11,196.4819117
B77,147,13,256.9525774
CV2,145,14,212.8346642
CV6,141,15,149.8230813
SE18,133,16,156.5258326
B31,132,=17,227.4097683
DN4,132,=17,237.521143
WN2,128,=19,237.8651602
WN7,128,=19,253.8524086
WS3,127,21,238.4663049
NN3,123,22,157.5771552
LE4,120,23,110.0947733
CV10,119,24,210.832167
NP19,118,25,204.3820906
ME12,116,26,270.0123368
WV10,115,27,183.0306696
NG16,113,=28,176.2430595
SE9,113,=28,168.1297426
B36,112,30,303.6547012
CO15,111,31,246.6611853
CH65,110,=32,359.8298986
NG5,110,=32,122.5121677
BN2,109,34,115.5824187
PO9,108,35,212.155738
DY4,107,=36,221.881221
NG19,107,=36,196.7309566
NG8,107,=36,159.5538457
ST6,107,=36,159.0297698
WV14,107,=36,207.2880141
PR2,106,41,132.4205477
DE21,105,=42,182.143043
L20,105,=42,304.453723
WS11,105,=42,236.587729
B33,103,=45,273.8269307
BS13,103,=45,317.9208593
DY5,102,=47,238.8479101
L14,102,=47,368.5770037
CW1,101,=49,225.4263012
RH11,101,=49,167.5486472
BB5,100,=51,158.9016716
DE55,100,=51,184.8155541
S2,99,53,210.6696742
CV3,98,54,139.595174
L9,97,55,304.2278259
B44,96,56,254.3585396
ST3,95,57,138.6719605
L35,94,=58,307.6520259
LA14,94,=58,254.3496496
S64,94,=58,294.6523729
L11,93,=61,314.4335125
SO19,93,=61,158.9825119
SS8,92,63,240.0396587
LE5,91,=64,91.34436827
NG18,91,=64,201.9888129
PE2,91,=64,169.7254551
LU5,90,=67,213.8630801
M22,90,=67,197.4117131
TS6,90,=67,296.608773
DY2,89,=70,245.3074612
PR1,89,=70,121.142826
